sample	type	UAR	Z
N188	N	8.34728285	0.462152603
N189	N	8.349571228	0.331775828
N190	N	8.354248559	0.0
N191	N	8.321778723	-0.049971429
N192	N	8.377368744	0.626817272
N193	N	8.36069827	0.292413775
N194	N	8.323696322	0.302189326
N195	N	8.402719144	0.947954775
N196	N	8.348991609	0.261059694
N197	N	8.360856623	1.041417909
N198	N	8.39507537	1.092276161
N199	N	8.33579068	0.160521108
N200	N	8.379158026	0.840086852
N201	N	8.359486138	0.271288546
N202	N	8.408450552	1.20958813
N203	N	8.391050906	0.739129433
N204	N	8.374259378	0.789263462
N205	N	8.352684255	0.536535147
N206	N	8.351750081	0.705357855
N207	N	8.35447868	0.105873801
N208	N	8.356047218	-0.267218843
N209	N	8.391794018	0.31745224
N210	N	8.368613993	0.654636136
N211	N	8.366870465	0.38076582
N212	N	8.282812626	-0.240891027
N213	N	8.371599716	0.74107291
N214	N	8.323917971	0.192027861
N215	N	8.297294257	-0.723668589
N216	N	8.363467555	0.298313449
N217	N	8.34871846	0.0
N218	N	8.387178603	1.282589085
N219	N	8.393330799	0.875908828
N220	N	8.318432765	-0.597223034
N221	N	8.340620271	0.701943771
N222	N	8.378671816	0.588204474
N223	N	8.330673071	0.190066735
N224	N	8.319918902	0.0
N225	N	8.329320846	0.021856022
N226	N	8.346224518	1.008158588
N227	N	8.386989716	1.030929083
N228	N	8.347254349	0.013762748
N229	N	8.366798072	0.507001366
N230	N	8.349319896	0.687147822
N231	N	8.337921776	0.081849903
N232	N	8.377791971	0.815134324
N233	N	8.386939794	0.617590269
N234	N	8.366175655	0.548348053
N235	N	8.344644387	0.277933555
N236	N	8.327146784	-0.311199285
N237	N	8.37762745	1.561143514
N238	N	8.340206978	0.0
N239	N	8.342751284	0.809265908
N240	N	8.334008567	0.524474158
N241	N	8.347226416	0.730921529
N242	N	8.345752374	0.0
N243	N	8.373266751	1.401140759
N244	N	8.356115264	0.643177459
N245	N	8.398119455	0.807327516
N246	N	8.369795098	1.0748906
N247	N	8.390835902	1.74476489
N248	N	8.347565331	0.386678025
N249	N	8.337823988	0.200120087
N250	N	8.344851578	0.306366252
N251	N	8.334330899	-0.016065642
N252	N	8.297202225	-0.055288123
N253	N	8.370052782	0.920353938
N254	N	8.361947007	0.854419293
N255	N	8.378846062	1.015682032
N256	N	8.344370845	0.396108656
N257	N	8.377206822	1.06614778
N258	N	8.35922568	0.873900627
N259	N	8.337235283	-0.277108356
N260	N	8.329111491	-0.02847991
N261	N	8.378834422	1.319884601
N262	N	8.36670634	0.795907762
N263	N	8.364677359	1.332048926
N264	N	8.295002302	-0.204676029
