Sample	type	UAR	Z
N2788	XX	5.176750778	-2.147782073
N2789	XX	5.343331683	-0.329265272
N2790	XX	5.393632083	-0.18151529
N2791	XX	5.486913028	1.193965116
N2792	XX	5.443728375	0.762133667
N2793	XX	5.403995804	-0.239831634
N2794	XX	5.425830341	0.382124542
N2795	XX	5.481883004	1.777034495
N2796	XX	5.276304219	-2.550777724
N2797	XX	5.282768337	-3.525854569
N2798	XX	5.285854869	-1.436553947
N2799	XX	5.335578019	-2.49656801
N2800	XX	5.521106001	0.598513576
N2801	XX	5.397378147	0.407463558
N2802	XX	5.419211404	0.035467883
N2803	XX	5.158430136	-2.399703303
N2804	XX	5.375326238	-0.410280838
N2805	XX	5.309029601	-1.643625053
N2806	XX	5.473096944	0.856396443
N2807	XX	5.254123543	-1.466995714
N2808	XX	5.413434883	-0.529943621
N2809	XX	5.432354026	0.416071797
N2810	XX	5.395806327	0.05537133
N2811	XX	5.416372698	-0.760796358
N2812	XX	5.411279396	0.433978282
N2813	XX	5.038535432	-5.963786632
N2814	XX	5.409591272	-0.857098008
N2815	XX	5.157283431	-2.331358178
N2816	XX	5.180978159	-9.798071016
N2817	XX	5.15302552	-2.469369935
N2818	XX	5.37939371	0.033766519
N2819	XX	5.184698742	-4.093610787
N2820	XX	5.438607847	0.531441016
N2821	XX	5.291317273	-0.63530897
N2822	XX	5.200270315	-2.397645783
N2823	XX	5.453736925	0.053474474
N2824	XX	5.29298658	-2.524104961
N2825	XX	5.289032271	-2.191942776
N2826	XX	5.44027622	0.750203037
N2827	XX	5.373602913	-0.07991367
N2828	XX	5.305301986	-2.746993263
N2829	XX	5.153348892	-7.772164757
N2830	XX	5.310553336	-2.140402609
N2831	XX	5.281574035	-2.24778728
N2832	XX	5.354455528	-0.857224894
N2833	XX	5.351330555	-1.008656403
N2834	XX	5.096216649	-3.74846578
N2835	XX	5.23065523	-3.794988683
N2836	XX	5.083082217	-15.58213282
N2837	XX	5.294848334	-2.064141862
N2838	XX	5.348319646	-0.449132403
N2839	XX	5.158557632	-3.116474101
N2840	XX	5.402093634	0.675130021
N2841	XX	5.222024322	-2.405918956
N2842	XX	5.342607768	-1.48846215
