Sample	type	UAR	Z
N168	XX	5.233286768	-4.435844162
N169	XX	5.196950797	-3.075329426
N170	XX	5.204998556	-3.095563201
N171	XX	5.240219123	-4.204956234
N172	XX	5.230536778	-4.32383894
N173	XX	5.245058599	-2.857514529
N174	XX	5.234443857	-4.280242391
N175	XX	5.12779414	-7.369801453
N176	XX	5.235608234	-4.431263842
N177	XX	5.244745585	-4.82571207
N178	XX	5.25480102	-3.969254873
N179	XX	5.246034123	-3.756298698
N180	XX	5.266424001	-2.817718797
N181	XX	5.217224278	-3.767897102
N182	XX	5.198097197	-3.446534295
N183	XX	5.240924148	-3.00625892
N184	XX	5.193500954	-5.174268874
N185	XX	5.244418587	-2.986603536
N186	XX	5.177268461	-5.372592707
N187	XX	5.222824918	-3.062476192
N188	XX	5.243706627	-0.633810245
N189	XX	5.25171639	-3.484199671
N190	XX	5.224474972	-3.988888749
N191	XX	5.192405489	-5.771919331
N192	XX	5.255273814	-3.972485677
N193	XX	5.222246655	-4.010940229
N194	XX	5.21256705	-4.033902322
N195	XX	5.241489618	-3.13175338
N196	XX	5.254495325	-2.553867837
N197	XX	5.233753079	-3.053181199
N198	XX	5.229762928	-2.268114128
N199	XX	5.211137586	-3.535004022
N200	XX	5.192641978	-6.311366257
N201	XX	5.229369581	-4.219545718
N202	XX	5.202396626	-3.422897025
N203	XX	5.203517186	-3.66745593
N204	XX	5.2497557	-4.973480689
N205	XX	5.221231134	-4.415322523
N206	XX	5.269580259	-3.304489893
N207	XX	5.290047792	-1.470900461
N208	XX	5.315382716	-2.469217116
N209	XX	5.260917393	-4.325525356
N210	XX	5.216292921	-6.015396575
N211	XX	5.187724186	-5.532134354
N212	XX	5.258985414	-3.56479844
N213	XX	5.249292936	-3.776098833
N214	XX	5.245600152	-2.97320723
N215	XX	5.208463662	-3.750618106
N216	XX	5.236389019	-5.437325819
N217	XX	5.29262082	-2.70025088
N218	XX	5.247050153	-3.785527441
N219	XX	5.249020426	-4.632727938
N220	XX	5.221124673	-3.201489568
N221	XX	5.237178807	-5.257864405
N222	XX	5.245619618	-3.562155816
N223	XX	5.2430973	-4.37450923
N224	XX	5.198362286	-4.816853312
N225	XX	5.273584477	-3.315334486
N226	XX	5.250311344	-3.768999721
N227	XX	5.208859164	-4.305810428
N228	XX	5.256816235	-3.685127577
N229	XX	5.254658504	-4.878248462
N230	XX	5.249911446	-2.900639222
N231	XX	5.270739558	-2.140483645
N232	XX	5.273665336	-2.645792107
N233	XX	5.223746634	-5.200374483
N234	XX	5.166335441	-4.291661501
N235	XX	5.217821694	-3.856508681
N236	XX	5.229259702	-2.969438801
N237	XX	5.248435257	-3.148192568
N238	XX	5.244182043	-2.938325615
N239	XX	5.233772284	-4.567607384
N240	XX	5.293527435	-2.291998115
N241	XX	5.225946581	-4.938671773
N242	XX	5.261545627	-3.654759462
N243	XX	5.252228602	-4.154151966
N244	XX	5.270551988	-3.856940879
N245	XX	5.240699304	-3.619439129
N246	XX	5.263086591	-4.661750659
N247	XX	5.281376328	-3.306840519
N248	XX	5.219737629	-4.636441735
N249	XX	5.25926902	-3.839767664
N250	XX	5.191844072	-3.726431426
N251	XX	5.249980556	-3.857832278
N252	XX	5.232589206	-3.793525309
N253	XX	5.22788437	-3.026358601
N254	XX	5.358285953	-2.028223103
N255	XX	5.190400336	-5.576812786
N256	XX	5.225637989	-3.406433754
N257	XX	5.285443683	-2.640430675
N258	XX	5.211522921	-3.844577256
N259	XX	5.256748914	-4.017819456
N260	XX	5.174113824	-5.190863506
N261	XX	5.244417319	-2.897018234
N262	XX	5.259027317	-3.501646575
N263	XX	5.26055588	-3.385641414
N264	XX	5.221529228	-4.196598099
N265	XX	5.256835136	-2.937552379
N266	XX	5.284865477	-2.604495785
N267	XX	5.196577206	-3.22870412
N268	XX	5.212289104	-4.022505329
N269	XX	5.247219506	-3.252482051
N270	XX	5.279149848	-3.792195535
N271	XX	5.27515936	-2.300404617
N272	XX	5.214486187	-3.932922524
N273	XX	5.217999658	-3.630174812
N274	XX	5.308580332	-2.152977275
N275	XX	5.308375191	-2.351820369
N276	XX	5.219444308	-5.403555537
N277	XX	5.234536906	-3.149506748
N278	XX	5.260190059	-1.849950547
N279	XX	5.156178103	-4.634993977
N280	XX	5.205632505	-3.749313701
N281	XX	5.226438272	-3.032949309
N282	XX	5.25018804	-3.837004835
N283	XX	5.260870126	-1.926251423
N284	XX	5.216330706	-3.4641971
N285	XX	5.176689448	-5.830198823
N286	XX	5.214728305	-3.642587237
N287	XX	5.186049787	-5.688414128
N288	XX	5.284113708	-3.187726531
N289	XX	5.267212754	-2.586647513
N290	XX	5.194557779	-4.764306507
N291	XX	5.213604267	-5.098814928
N292	XX	5.230727535	-4.081010179
N293	XX	5.24411439	-2.644054555
N294	XX	5.242228687	-2.7517705
N295	XX	5.271229142	-2.599951742
N296	XX	5.210783212	-5.514442958
N297	XX	5.224582318	-3.901585716
N298	XX	5.258467284	-2.735573904
N299	XX	5.242041043	-3.118172639
N300	XX	5.233196024	-3.708636968
N301	XX	5.216272173	-3.039501182
N302	XX	5.220039048	-4.191405307
N303	XX	5.255263815	-3.679246673
N304	XX	5.213238811	-4.323088547
N305	XX	5.347527242	-1.084314951
N306	XX	5.189207588	-5.565479242
N307	XX	5.216532485	-4.989098712
N308	XX	5.262851148	-3.529811863
N309	XX	5.193596045	-3.391553433
N310	XX	5.161130167	-6.861169031
N311	XX	5.287373611	-3.645044987
N312	XX	5.226469315	-4.757817466
N313	XX	5.240426918	-4.256063117
N314	XX	5.198095439	-4.26158104
N315	XX	5.242981426	-4.362239606
N316	XX	5.233517287	-3.756409497
N317	XX	5.246448662	-4.392300813
N318	XX	5.227842532	-3.25248296
N319	XX	5.240087302	-3.686751801
N320	XX	5.217743769	-4.656006204
N321	XX	5.21344583	-4.012694467
